"","ObjectID","GlobalID","Form_Version","Team.Name","Region","Incident_UUID","Incident.Number","Type.of.Incident","Incident.Start.Date.and.Time","Number.of.Operational.Periods","Primary.Response.Area","Number.of.Volunteers.Supporting.the.Incident","Total.Volunteer.Hours.on.the.Incident","Total.Volunteer.Mileage","Aircraft.Used","Area.Type","Land.Ownership","Total.Number.of.Subjects","Subject.Category","Subject.1..Age","Subject.1..Gender","Subject.1..Level.of.Fitness","Subject.1..Level.of.Experience","Number.of.Subjects.Found.Alive.and.Well","x","y"
"15559",1014,"933ff80e-9a12-4b68-a2dd-9ea7fbd58e1d","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","6e1fa5eb-d1a1-47ff-8093-e1368b3782d7","21P005035 Mount Raoul Skier","SEARCH","4/28/2021 9:45:00 PM",1,"YES",3,5,30,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",24,"MALE","EXCELLENT","EXCELLENT",1,-106.8716,39.0074000000001
"15610",928,"1047aca5-842f-4db7-b1e9-a8b5abb096e5","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","357edb5f-fb0a-4ae9-87ed-584da69db550","21P001020 Snowmass Missing","SEARCH","1/27/2021 11:00:00 PM",2,"YES",29,325,100,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"SNOWBOARDING",32,"MALE","UNKNOWN","UNKNOWN",0,-106.9172,39.1636
"15625",8078,"82f4062c-7aeb-4d97-8319-55f9af3ea6c8","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","8e88b264-7900-4bce-9753-10bdebb3df74","1578","RESCUE","8/23/2020 8:45:00 PM",1,"YES",7,42,0,"","WILDERNESS","NATIONAL_FOREST",1,"OHV/ATV",51,"FEMALE","GOOD","GOOD",0,-106.675566585,39.5040455110001
"15634",6930,"13523832-c5aa-4af0-ac05-b427daf5135e","2.1.1-MRA","Garfield_County_SAR","Rocky Mountain Region","1ff183f0-6e77-401a-99d3-32d4460dd102","2019.10.20","SEARCH","10/20/2019 5:45:00 AM",2,"YES",18,200,200,"","URBAN","CITY",1,"ALZHEIMERS_DEMENTIA",14,"MALE","UNKNOWN","UNKNOWN",1,-107.209478085,39.394543791
"15684",22648,"7c72700d-e7cb-4930-8d00-a3ed748d7bfc","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","3850bbbe-2788-46e8-b58b-40704070f50f","2022173","RESCUE","11/26/2022 1:21:00 AM",1,"YES",10,145,100,"","WILDERNESS","STATE",2,"CLIMBING",19,"MALE","","",1,-105.283705362075,39.9315988316569
"15698",20819,"d72c84fd-86e2-4ea6-8d94-73b8358f827d","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","54d61c08-bc9a-4248-b8ae-292947a3fa78","Horsetooth Rock Technical Rescue","RESCUE","8/8/2021 12:45:00 AM",1,"YES",16,84,364,"AIRCRAFT-HELICOPTER","WILDERNESS","COUNTY",1,"HIKING",32,"MALE","UNKNOWN","UNKNOWN",0,-105.181130490763,40.5235955566066
"15725",22545,"960c0c0d-935d-4d65-8778-9b84b741c1c6","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","902ee8f4-1706-4e51-86cc-cf4ea8abcc42","2022149","RESCUE","9/18/2022 10:15:00 PM",1,"YES",14,19,145,"","WILDERNESS","CITY",1,"HIKING",84,"FEMALE","","",0,-105.271496819724,39.9672310876162
"15732",20885,"0204c4e7-ee7a-48cc-87e0-6557c0c7f6d2","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","1cc5d46f-be87-4ebc-85e4-83af76ec340b","Missing 50 yof on Deadman Rd","SEARCH","7/18/2022 5:32:00 AM",1,"YES",11,66,480,"AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",1,"HIKING",50,"FEMALE","UNKNOWN","UNKNOWN",1,-105.615015013895,40.7935950117156
"15743",9074,"e06e0802-ee63-44e5-a441-12f9c5df6c6c","2.2.0-MRA","Douglas_County_SAR_CO","Rocky Mountain Region","c3fd355f-44f8-4051-97aa-b855c2a944fd","2020-025","SEARCH","4/18/2020 4:18:00 AM",1,"YES",14,20,162,"","SUBURBAN","CITY",1,"RUNAWAY",12,"FEMALE","","",1,-104.7963118,39.5072399000001
"15787",6630,"37d6dbdc-58f7-43bb-8046-e4f6ec2b26c6","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","2905c491-9706-4dcb-8738-5a51759c8bd0","2018.08.05 Missing 24yom at Eaton Res","SEARCH","8/5/2018 3:40:00 PM",1,"YES",10,60,1120,"","WILDERNESS","COUNTY",1,"CAMPING",24,"MALE","GOOD","GOOD",1,-105.712061908,40.952861807
"15800",20799,"97ed2144-7a57-41dd-89e0-5ae80ac62dd2","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","168e4fbe-9a45-45af-9b80-d55afa8081f8","Glen Echo Missing Hiker","SEARCH","4/26/2021 4:38:00 AM",1,"YES",10,24,640,"","RURAL","COUNTY",1,"HIKING",47,"MALE","UNKNOWN","UNKNOWN",1,-105.378183,40.69283
"15802",3564,"4300a777-0cac-44f6-80ab-912e8abebedd","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","ea6faed6-0944-43d7-aa8c-a9fa2bacaa95","22P009859 Capitol Ditch Trail Fall","RESCUE","9/2/2022 6:30:00 PM",1,"YES",17,41,150,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",75,"FEMALE","UNKNOWN","UNKNOWN",0,-107.09528,39.22111
"15844",7351,"90a9cfeb-f653-4565-8e02-720393c9ebc1","","Chaffee_County_SAR_North","Rocky Mountain Region","B9E381D3-2403-4062-8774-BCB58694B6CB","004-Midland Trail","RESCUE","5/16/2019 6:01:00 PM",1,"YES",11,24,129,"","WILDERNESS","BLM",1,"HIKING",47,"FEMALE","UNKNOWN","UNKNOWN",0,-106.10257,38.842
"15849",20991,"7eeafd0f-c840-4121-846c-98c5f3ec19df","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","6748c217-e7ba-448e-a19d-294162837f8c","2022065","SEARCH","6/17/2022 11:02:00 PM",1,"YES",11,38,220,"","WILDERNESS","STATE",2,"CLIMBING",49,"MALE","","",2,-105.2844,39.9341
"15850",9415,"448d27ea-f981-44c2-9c10-51aedbd1dc45","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","eadba15c-17e0-4d5b-9619-cca0e5f18f50","20200917-A","RESCUE","9/17/2020 6:45:00 PM",1,"NO",4,23,173,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",45,"FEMALE","FAIR","FAIR",0,-105.678168664,39.5797026280001
"15859",1011,"e7205933-dafc-4d32-b781-331ba3c7ff9f","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","55a20197-f3a6-4156-b709-99dad49a96ab","21P004501 Walshes Incident","RESCUE","4/17/2021 5:45:00 PM",1,"YES",6,26,50,"","WILDERNESS","NATIONAL_FOREST",2,"SNOW_SKIING",51,"MALE","UNKNOWN","UNKNOWN",2,-106.8035,39.1622
"15915",8287,"53038673-32fe-4356-b9f2-acd70bb8fa3a","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","49dcf011-5f24-4413-90c0-659658e4bdc4","Kite Lake Injury","RESCUE","10/3/2020 11:15:00 PM",1,"YES",6,18,100,"","RURAL","NATIONAL_FOREST",1,"MOUNTAINEERING",41,"FEMALE","FAIR","FAIR",0,-106.1271,39.3356000000001
"15929",1054,"6e0c0b92-9cfe-47e5-b51a-c4302c73272a","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","4610ef83-b928-469c-be2b-d1438673310f","21P006914-Lost Man Lake Hikers","RESCUE","6/5/2021 10:45:00 PM",1,"YES",27,165,200,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",28,"FEMALE","GOOD","GOOD",2,-106.5675,39.1541
"15936",3607,"3996c8f4-1b3c-459d-82a7-f320491899c1","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","fde719f4-8113-419a-bac9-08dedb0df804","2022024","RESCUE","4/16/2022 11:55:00 PM",1,"YES",19,57,133,"","WILDERNESS","CITY",1,"HIKING",50,"FEMALE","","",0,-105.296883164063,39.9912127723863
"15974",3501,"925745eb-0cef-4010-87da-b272c8c8fcc7","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","018353f7-20f1-493e-ba3b-d3d2c3bf97ec","220711 Long Gulch AMS","RESCUE","7/11/2022 11:57:00 PM",1,"YES",17,12,85,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",51,"FEMALE","UNKNOWN","UNKNOWN",0,-105.61898,39.34784
"16023",3630,"9c29989f-9937-4b3a-8461-88029845640a","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","811ca0d4-a289-49ad-97a8-b057c2a03c5d","2022047","RESCUE","5/19/2022 12:58:00 AM",1,"YES",11,11,396,"","WILDERNESS","COUNTY",1,"BIKING",60,"MALE","","",0,-105.268148797378,40.1967986580629
"16046",1271,"bcd7e304-c45d-4587-82b7-e554112b300f","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","4526cab1-9bb2-4365-8427-d984d8b66038","21P012693 Huntsman Ridge Lost Hunter","SEARCH","9/19/2021 12:00:00 PM",1,"YES",18,87,250,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",61,"MALE","UNKNOWN","UNKNOWN",1,-107.31416,39.16383
"16057",9418,"d33c79e6-6f0d-45c4-9f88-6e9be3510570","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","6b450cf2-b767-4fc0-9934-2251b83e6267","lost park over due hikers","SEARCH","9/28/2020 6:15:00 AM",1,"YES",3,24,0,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",22,"FEMALE","POOR","POOR",2,-105.504437599,39.2836107790001
"16065",22479,"f43407c4-8dc3-4ec6-88bb-e8c2fcb966d3","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","0969d8f2-5a36-4344-9e6d-04840e19eaa0","2022089","SEARCH","7/10/2022 11:27:00 PM",1,"YES",14,18,560,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",57,"FEMALE","","",1,-105.436362039967,40.1086560171603
"16076",4632,"f5195ab0-879a-41b9-b1b3-c61e914763d1","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","4D845CDB-965F-48E5-8049-BC61497EA56F","#00691","PLB_ACTIVATION","10/20/2018 3:03:00 PM",1,"YES",8,2,0,"","WILDERNESS","NATIONAL_FOREST",2,"HUNTING",34,"MALE","GOOD","GOOD",2,-106.30445,39.6725000000001
"16086",6223,"37629bc2-12ea-43c0-b2c3-985b7dac7cc5","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","4ee1ef5f-bc6f-4b44-abb4-9ee6bb817a3a","Buffalo Peaks Loop","RESCUE","8/7/2019 4:52:00 AM",1,"YES",4,8,30,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",34,"MALE","","FAIR",1,-106.13,39.0700000000001
"16123",23415,"e07fca1f-0adc-446d-8987-460cb8070f49","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","71341c71-dd8e-48f8-8a8d-a14c68d76e24","23P006313 Missing 11yr Old Hiker ","SEARCH","6/30/2023 8:45:00 PM",1,"YES",13,4,50,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",11,"FEMALE","UNKNOWN","UNKNOWN",1,-106.7225,39.1195
"16169",4114,"e8fc0518-4970-4667-8708-9580a5d4aa2b","","Fremont_SAR","Rocky Mountain Region","51CD7AFD-3700-4494-83C3-31AAB8023A79","2018-16","SEARCH","5/17/2018 12:00:00 AM",1,"YES",1,2,0,"","WILDERNESS","STATE",1,"OHV/ATV",64,"MALE","FAIR","FAIR",1,-105.58526,38.41231
"16193",7944,"d4396853-285a-4b7c-9cdb-b3e8996aeb11","2.1.2-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","a0b81d3b-4b1d-4ab8-ac0f-7ab725fc220b","20P012047 Lorax Trail","SEARCH","7/7/2020 7:10:00 PM",1,"YES",8,21,50,"","WILDERNESS","BLM",3,"HIKING",23,"","FAIR","FAIR",3,-107.2734,39.3649
"16308",10795,"94e17205-82c6-4a18-a22e-b597b7a6b69d","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","6e1fa5eb-d1a1-47ff-8093-e1368b3782d7","21P005035 Mount Raoul Skier","SEARCH","4/28/2021 9:45:00 PM",1,"YES",3,5,30,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",24,"MALE","EXCELLENT","EXCELLENT",1,-106.8716,39.0074000000001
"16378",7431,"27bdc9f1-d18a-4331-bb9d-d3be6e8f7c58","","Park_County_SAR","Rocky Mountain Region","026267CC-3274-41FE-8381-A3A3FEC11197","Tumbling River Ranch","RESCUE","5/31/2019 10:15:00 PM",1,"YES",7,1,0,"","WILDERNESS","NATIONAL_FOREST",1,"HORSEBACK_RIDING",47,"FEMALE","GOOD","GOOD",0,-105.69793,39.49749
"16455",22642,"36605bf7-eb8c-4533-80f1-aada42ecd433","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","d44b718d-0f5b-4f21-ae8b-1179ee174933","2022167","RESCUE","11/6/2022 7:37:00 PM",1,"YES",21,21,180,"","WILDERNESS","CITY",1,"HIKING",37,"FEMALE","","",0,-105.275701579576,39.9678975263989
"16510",1712,"3276a80b-b45a-4059-8b2d-68eddcf49825","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","024b1ef9-dd9c-4ce2-80be-cf0c3d5a8c1e","20212610","SEARCH","10/26/2021 3:30:00 AM",1,"YES",4,32,297,"","RURAL","NATIONAL_FOREST",2,"FISHING",79,"MALE","FAIR","FAIR",2,-105.355061227313,39.1667579741695
"16586",8963,"d3639132-eee3-4116-a9dc-4f605ee1af9d","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","3d960dd6-7ea6-49f2-acbe-45053c3e1665","01514","SWIFTWATER_RESCUE","7/5/2020 2:30:00 AM",1,"YES",5,15,0,"","WATER","BLM",3,"DRIVING",0,"MALE","UNKNOWN","UNKNOWN",3,-106.747819492,39.6911681380001
"16694",9475,"a14f1acb-2598-4fc2-a3f4-58214198d9a3","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","446adb4d-6c52-4e61-b1be-072db27ed207","Rosalie Hikers","RESCUE","9/27/2020 11:45:00 PM",1,"YES",3,9,20,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",67,"FEMALE","GOOD","POOR",2,-105.6392,39.5384
"16739",3624,"25122114-563c-4295-8ec7-417b3f91df4e","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","9889cffd-afdc-4f51-9d66-53590f01b1b4","2022041","RESCUE","5/10/2022 6:18:00 PM",1,"YES",9,14,63,"","WILDERNESS","CITY",1,"HIKING",30,"FEMALE","","",0,-105.291569708004,39.9824827627387
"16772",5625,"fb271ebf-8094-4e32-895f-b89d84fdca7b","","Chaffee_County_SAR_North","Rocky Mountain Region","F2076B64-9434-4B84-8D62-6E96803D1BB5","027-2018","RESCUE","7/14/2018 3:45:00 AM",1,"YES",8,22,144,"","WILDERNESS","NATIONAL_FOREST",1,"CAMPING",17,"MALE","UNKNOWN","UNKNOWN",0,-106.19419,38.7069900000001
"16799",22476,"36cf73cf-e288-46c8-8b1d-1afe0a183087","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","cbaea0d8-511f-4df1-ac98-f0866cbfc396","2022086","RESCUE","7/10/2022 7:00:00 PM",1,"YES",18,10,180,"","WILDERNESS","CITY",1,"HIKING",77,"MALE","","",0,-105.283152181891,39.9779565847801
"16882",7626,"f3b3d50a-cf6e-40c6-9c22-6776db5cebcb","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","0533c2e1-a916-4b36-a70f-e0e6edf2ccdf","2019-26","SEARCH","6/30/2019 12:00:00 PM",1,"NO",4,45,400,"","WILDERNESS","STATE",1,"HIKING",30,"MALE","GOOD","GOOD",1,-105.08193,39.4741100000001
"16910",7623,"0fcebdac-7c05-4eda-8523-68ee9ef9901f","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","a36e3dc0-652d-4c8c-aedd-b2cf975c23cf","2019-23","SEARCH","6/22/2019 7:00:00 PM",1,"YES",7,22,105,"AIRCRAFT-UAV","WILDERNESS","BLM",1,"DIMINISHED_CAPACITY:_OTHER",21,"MALE","GOOD","POOR",0,-105.321847032,38.4065249340001
"16957",5622,"b534425d-0cd4-4e79-b747-fb2d3ade6f66","","Chaffee_County_SAR_North","Rocky Mountain Region","272CD7FE-3C3B-4D0F-8BDC-762B10CA7166","045-2018","RESCUE","10/21/2018 8:00:00 PM",1,"YES",12,24,251,"","WILDERNESS","NATIONAL_FOREST",3,"HIKING",26,"FEMALE","UNKNOWN","UNKNOWN",3,-106.32248,38.91706
"16970",3627,"c395563b-0d84-45fe-803b-e45c9fbc5ae4","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","7ae902ae-4b9b-4c78-bc25-4f362fa2ab4f","2022044","RECOVERY","5/15/2022 9:30:00 PM",1,"YES",13,26,78,"","WILDERNESS","CITY",1,"HIKING",20,"MALE","","",0,-105.305209506607,40.0342940712156
"16975",8728,"8b3cf2a5-8b0b-455c-bffe-185f01bff7f0","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","feef7f85-0b46-4d68-9fd2-587de54fb08b","Springer Gulch Campground","SEARCH","7/28/2020 10:40:00 PM",1,"YES",8,1,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",73,"MALE","FAIR","FAIR",1,-105.36583,38.9680500000001
"16983",9498,"5ab96de6-d55d-4630-bebc-2c9b9787daf8","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","04b06f3e-af30-4699-a1d6-33c1a93a2b58","20P018442 Hell Roaring Hunter","RESCUE","10/29/2020 1:00:00 AM",1,"YES",17,66,100,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",46,"MALE","UNKNOWN","UNKNOWN",0,-107.09234,39.2379300000001
"17004",2903,"b9c88dcc-cfcb-42c0-8d0f-69367b2d20b3","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","608e913c-eb93-49ae-be32-560e33f503ef","2022009","RECOVERY","3/3/2022 8:22:00 PM",1,"YES",11,44,220,"","WILDERNESS","STATE",1,"CLIMBING",48,"MALE","EXCELLENT","EXCELLENT",0,-105.283443542054,39.9301705821244
"17017",7881,"b0257173-49e2-47ac-9bf8-d3833c364283","2.1.1-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","d0365b93-55b8-49bd-a52d-aa60a67c5e32","01385","MEDICAL_AID","3/6/2020 3:38:00 AM",1,"YES",9,90,120,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",20,"MALE","EXCELLENT","EXCELLENT",1,-106.373555743,39.689064408
"17019",3538,"8bc9b751-92d1-4585-8e73-5f399e387007","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","2996e9e6-dbd2-4be8-b0d0-451ab24484d0","22P008977 Sopris medical","RECOVERY","8/12/2022 6:00:00 PM",1,"YES",18,72,100,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",36,"MALE","UNKNOWN","UNKNOWN",0,-107.14773,39.25868
"17071",8430,"30530753-59bc-462c-bb84-beefc3d85865","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","26448574-4b19-407d-8f9e-5f8511286d59","Turner Gulch Stranded Vehicle","RESCUE","2/7/2020 6:05:00 AM",1,"YES",5,41,164,"","RURAL","NATIONAL_FOREST",4,"FOUR_WHEEL_DRIVING",50,"MALE","GOOD","FAIR",4,-105.63392,39.1867100000001
"17102",10792,"375fa31f-d4b0-419b-a43a-216d08d4aa61","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","55a20197-f3a6-4156-b709-99dad49a96ab","21P004501 Walshes Incident","RESCUE","4/17/2021 5:45:00 PM",1,"YES",6,26,50,"","WILDERNESS","NATIONAL_FOREST",2,"SNOW_SKIING",51,"MALE","UNKNOWN","UNKNOWN",2,-106.8035,39.1622
"17164",22645,"a31c4491-69e1-448a-802a-72152fbd710c","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","5418e615-60fc-47be-afe7-c07f92665794","2022170","RESCUE","11/12/2022 9:27:00 PM",1,"YES",7,18,49,"","WILDERNESS","CITY",1,"CLIMBING",28,"MALE","","",1,-105.292722146697,39.9910649049803
"17169",5903,"fa6747c6-2fda-443a-86a3-1128a62ace87","","Grand_County_SAR","Rocky Mountain Region","365795A7-C81D-422F-8E3B-31857C96234D","02230 My Flora Hiker","RESCUE","6/30/2019 4:52:00 PM",1,"YES",15,3,560,"","WILDERNESS","BLM",1,"HIKING",21,"FEMALE","GOOD","GOOD",0,-105.77668,39.7981300000001
"17212",5133,"f899b4a4-e51b-400d-942a-e05e2ab29cd3","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","DAE424E3-42A4-4DAC-88D3-8EB7EC9DF7B7","00615","SEARCH","8/12/2018 3:20:00 AM",1,"NO",4,38,100,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",33,"MALE","GOOD","FAIR",0,-106.02845,39.6440700000001
"17221",4772,"cab9b6d5-9b41-4b4c-8279-f07e008ab9d0","","Chaffee_County_SAR_North","Rocky Mountain Region","7F79BC62-8F13-4200-8C6F-C196F9678843","012-2018","RESCUE","6/10/2018 2:55:00 AM",2,"YES",17,169,269,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",68,"MALE","UNKNOWN","UNKNOWN",0,-106.234577271,38.723592716
"17274",667,"f336d434-f8aa-46fb-8098-ac5634e709d9","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","d2e7442c-7c22-4f67-b738-3e44e32b200f","051021 Matukat Stranded Motorist","RESCUE","5/10/2021 4:00:00 PM",1,"YES",2,10,160,"","RURAL","NATIONAL_FOREST",1,"CAMPING",50,"MALE","POOR","FAIR",1,-105.3821,39.0899
"17286",21157,"883583e0-e2b8-4f18-8681-507875a8cb83","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","547a3781-137b-41bd-bd6b-403bf45b0e43","2022-14","SEARCH","3/29/2022 11:00:00 PM",1,"YES",4,8,25,"","RURAL","OTHER",1,"CHILD_AGE_0-15",12,"MALE","EXCELLENT","POOR",1,-105.24676222229,38.4528835691703
"17316",8596,"e8685def-043d-4212-8df2-055dad3b6e06","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","57ca4230-555d-4c73-ac21-3b41614a67cb","122420 Weston Pass Motorist Assist","RESCUE","12/24/2020 11:55:00 PM",1,"YES",4,6,50,"","RURAL","COUNTY",2,"FOUR_WHEEL_DRIVING",40,"MALE","GOOD","GOOD",2,-106.1689,39.1165
"17331",6000,"a68e78ff-f25f-4bcc-bdc9-20c87fd0f11e","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","651201DD-2229-488E-80BF-6CCFF05611E5","821","RESCUE","1/12/2019 11:15:00 PM",1,"YES",6,14,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",60,"MALE","GOOD","GOOD",0,-106.3925,39.6129300000001
"17351",7617,"6888130a-9964-4789-9e35-1dd2cbbc0ff1","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","653a847e-3cd4-4e65-b948-bb86cccfe107","2019-17","SEARCH","5/1/2019 1:00:00 PM",1,"NO",4,34,300,"","RURAL","PRIVATE",1,"OTHER",30,"FEMALE","UNKNOWN","UNKNOWN",0,-105.301174021,38.7608864960001
"17372",7872,"6e73f924-791d-4808-9e2a-733fbab45895","2.1.1-MRA","Park_County_SAR","Rocky Mountain Region","5caa5d5c-2e0a-4ff4-93c3-f4c1b07d28f5","14yof Rich Creek","SEARCH","6/4/2020 6:00:00 AM",1,"YES",5,0,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",14,"FEMALE","GOOD","FAIR",1,-106.1173,39.0684000000001
"17387",21108,"9531477b-e0ff-4edb-8c83-e0527ade278d","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","f95dbfe4-8fa5-4eb1-aa00-c93aa909fdfa","RMNP Lumpy Ridge Trail Overdue 75 YOF","SEARCH","9/25/2023 2:49:00 PM",1,"YES",10,93,860,"","WILDERNESS","NATIONAL_PARK/MONUMENT",1,"HIKING",75,"FEMALE","UNKNOWN","UNKNOWN",1,-105.51266,40.39664
"17396",5150,"e809c2b2-6db0-4740-96fe-a2d300325e48","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","2829E642-9D48-4C0B-ACCF-9A7994EDF8C3","00508","RESCUE","5/24/2018 7:00:00 PM",1,"YES",11,92,30,"","RURAL","STATE",3,"BOATING",25,"MALE","GOOD","FAIR",3,-106.83374,39.6536400000001
"17455",8851,"3539a662-52c1-40ab-a579-5e7861fc9ad6","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","c9866e56-2b33-4866-ac26-b4c4c5f61b38","01671","SEARCH","10/24/2020 8:15:00 PM",1,"YES",4,6,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",0,"FEMALE","UNKNOWN","UNKNOWN",1,-106.24225,39.5472100000001
"17465",3023,"e4e1c270-1538-4294-8230-ca277316dd08","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","5d55b69c-8afa-44c1-bd93-f90ebdefaee7","220411 Topaz Mountain Stranded Hiker","RESCUE","4/12/2022 2:13:00 AM",1,"YES",9,45,380,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",35,"MALE","FAIR","POOR",0,-105.5785358,39.28527
"17489",2087,"5d3d5b9b-6602-476f-898c-4ea5c2fb1d9a","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","672ed7d9-d2fe-464e-bd6b-476505a01454","06132021_1","SEARCH","6/13/2021 9:15:00 PM",1,"NO",2,5,100,"AIRCRAFT-HELICOPTER","WILDERNESS","BLM",1,"HIKING",25,"MALE","GOOD","FAIR",1,-105.187843216552,38.540323437665
"17512",1151,"a377b382-c256-46de-8501-54c1b08d0d97","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","d3259e75-dad2-418b-8b23-1880744e5055","20210729_Georgia Pass_Walkaway","SEARCH","7/29/2021 8:30:00 PM",1,"YES",5,2,0,"","WILDERNESS","NATIONAL_FOREST",1,"OHV/ATV",77,"MALE","UNKNOWN","UNKNOWN",1,-105.91668,39.4583200000001
"17539",21148,"ce06b85b-58e0-47f4-82cf-b4480e12b3c8","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","b8632165-297a-4690-b1cf-487470344fab","2022-1","SEARCH","1/25/2022 12:30:00 PM",1,"YES",4,12,100,"","RURAL","OTHER",1,"DIMINISHED_CAPACITY:_OTHER",84,"MALE","POOR","POOR",1,-105.120581633073,38.3842438255676
"17620",2110,"c7c84d4c-797e-4a83-8349-a3d6259d1982","3.0.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","05bfa32e-1f54-4c14-91ad-a9467567fa93","2005","RESCUE","6/25/2021 5:29:00 PM",1,"YES",7,38,0,"","WILDERNESS","NATIONAL_FOREST",1,"OHV/ATV",58,"MALE","","",1,-106.8679,39.5798
